Alkmaar,52.63777924,4.739722252,Kritiek
Almelo,52.35805511,6.653888702,Kritiek
Almere Centrum,52.37503,5.21764,Kritiek
Alphen a/d Rijn,52.12444305,4.657777786,Kritiek
Amersfoort,52.1538887,5.370555401,Kritiek
Amsterdam Amstel,52.34666824,4.917778015,Kritiek
Amsterdam Centraal,52.37888718,4.900277615,Kritiek
Amsterdam Sloterdijk,52.38888931,4.837777615,Kritiek
Amsterdam Zuid,52.338889,4.872356,Kritiek
Apeldoorn,52.20916748,5.970277786,Kritiek
Arnhem Centraal,51.98500061,5.899166584,Kritiek
Assen,52.99166489,6.570833206,Kritiek
Beverwijk,52.47833252,4.656666756,Kritiek
Breda,51.59555435,4.78000021,Kritiek
Castricum,52.54583359,4.658611298,Kritiek
Delft,52.00666809,4.356389046,Kritiek
Den Haag Centraal,52.08027649,4.324999809,Kritiek
Den Haag HS,52.06972122,4.322500229,Kritiek
Den Haag Laan v NOI,52.07860947,4.342777729,Kritiek
Den Helder,52.95527649,4.761111259,Kritiek
Deventer,52.25749969,6.160555363,Kritiek
Dieren,52.04499817,6.103055477,Kritiek
Dordrecht,51.80722046,4.66833353,Kritiek
Ede-Wageningen,52.02777863,5.673055649,Kritiek
Eindhoven,51.44333267,5.481389046,Kritiek
Enschede,52.22249985,6.889999866,Kritiek
Etten-Leur,51.57500076,4.635833263,Kritiek
Gouda,52.01750183,4.704444408,Kritiek
Groningen,53.21055603,6.564722061,Kritiek
Haarlem,52.38777924,4.638333321,Kritiek
Heemstede-Aerdenhout,52.35916519,4.606666565,Kritiek
Heerenveen,52.96138763,5.914166451,Kritiek
Heerlen,50.89083481,5.974999905,Kritiek
Helmond,51.47555542,5.661944389,Kritiek
Hengelo,52.26166534,6.793889046,Kritiek
Hilversum,52.22583389,5.18194437,Kritiek
Hoorn,52.64472198,5.055555344,Kritiek
Leeuwarden,53.19583511,5.792222023,Kritiek
Leiden Centraal,52.16611099,4.481666565,Kritiek
Lelystad Centrum,52.50777817,5.472777843,Kritiek
Maastricht,50.85027695,5.705555439,Kritiek
Nijmegen,51.84361267,5.852222443,Kritiek
Oss,51.76555634,5.532222271,Kritiek
Roermond,51.1930542,5.994166851,Kritiek
Roosendaal,51.54027939,4.458333492,Kritiek
Rotterdam Alexander,51.95194626,4.553611279,Kritiek
Rotterdam Blaak,51.92027664,4.488888741,Kritiek
Rotterdam Centraal,51.92499924,4.46888876,Kritiek
Schiedam Centrum,51.92124381,4.408993721,Kritiek
Schiphol Airport,52.30944443,4.761944294,Kritiek
Sittard,51.00166702,5.858611107,Kritiek
Steenwijk,52.79151099,6.114555763,Kritiek
Tilburg,51.5605545,5.083611012,Kritiek
Utrecht Centraal,52.08889008,5.110277653,Kritiek
Venlo,51.36360931,6.172777653,Kritiek
Vlissingen,51.44583511,3.595277786,Kritiek
Weert,51.24861145,5.703610897,Kritiek
Zaandam,52.43888855,4.813611031,Kritiek
Zutphen,52.14527893,6.19416666,Kritiek
Zwolle,52.5047226,6.091944218,Kritiek
s-Hertogenbosch,51.69048,5.29362,Kritiek
